DEPARTAMENTO,period,MONTO_DEVENGADO
CAJAMARCA,2023-06-01,2152182.4699999997
CAJAMARCA,2023-07-01,2226413.71
CAJAMARCA,2023-08-01,1594314.12
CAJAMARCA,2023-09-01,4391179.2
CAJAMARCA,2023-10-01,1441910.96
CAJAMARCA,2023-11-01,1879242.42
CAJAMARCA,2023-12-01,2683887.95
CAJAMARCA,2024-01-01,578171.5
CAJAMARCA,2024-02-01,942204.96
CAJAMARCA,2024-03-01,1386347.28
CAJAMARCA,2024-04-01,1557124.25
CAJAMARCA,2024-05-01,2057337.78
CAJAMARCA,2024-06-01,1457844.35
CAJAMARCA,2024-07-01,1924968.56
CAJAMARCA,2024-08-01,1952164.97
CAJAMARCA,2024-09-01,2631548.73
CAJAMARCA,2024-10-01,2227172.1
CAJAMARCA,2024-11-01,2630467.71
CAJAMARCA,2024-12-01,3345989.4
CAJAMARCA,2025-01-01,764155.86
CAJAMARCA,2025-02-01,1389999.1400000001
CAJAMARCA,2025-03-01,2059285.6
CAJAMARCA,2025-04-01,2124911.2600000002
CAJAMARCA,2025-05-01,2926295.16
CAJAMARCA,2025-06-01,2046079.33
CAJAMARCA,2025-07-01,2213488.9
CAJAMARCA,2025-08-01,2338529.8
CUSCO,2019-01-01,169248.38
CUSCO,2019-02-01,2337260.43
CUSCO,2019-03-01,3485591.27
CUSCO,2019-04-01,4532130.2
CUSCO,2019-05-01,3555307.69
CUSCO,2019-06-01,4464072.51
CUSCO,2019-07-01,4574363.49
CUSCO,2019-08-01,4258354.27
CUSCO,2019-09-01,4459643.24
CUSCO,2019-10-01,5455278.41
CUSCO,2019-11-01,4126987.38
CUSCO,2019-12-01,9245013.7
CUSCO,2020-01-01,1105933.57
CUSCO,2020-02-01,3463705.62
CUSCO,2020-03-01,4563121.2
CUSCO,2020-04-01,2346319.7
CUSCO,2020-05-01,3503251.2
CUSCO,2020-06-01,4979441.26
CUSCO,2020-07-01,5669684.68
CUSCO,2020-08-01,4842767.92
CUSCO,2020-09-01,6669140.62
CUSCO,2020-10-01,4949163.95
CUSCO,2020-11-01,6192947.72
CUSCO,2020-12-01,12326093.93
CUSCO,2021-01-01,404934.36
CUSCO,2021-02-01,4190823.75
CUSCO,2021-03-01,6397889.51
CUSCO,2021-04-01,4297405.62
CUSCO,2021-05-01,5258109.83
CUSCO,2021-06-01,3799388.87
CUSCO,2021-07-01,5711042.26
CUSCO,2021-08-01,4666149.58
CUSCO,2021-09-01,5062058.99
CUSCO,2021-10-01,4732366.56
CUSCO,2021-11-01,5839938.36
CUSCO,2021-12-01,14324472.65
CUSCO,2022-01-01,1039361.33
CUSCO,2022-02-01,4468617.13
CUSCO,2022-03-01,8562256.56
CUSCO,2022-04-01,4386428.78
CUSCO,2022-05-01,6892413.17
CUSCO,2022-06-01,6334904.0
CUSCO,2022-07-01,7908723.7299999995
CUSCO,2022-08-01,7306970.58
CUSCO,2022-09-01,8151847.13
CUSCO,2022-10-01,8273559.78
CUSCO,2022-11-01,9313124.46
CUSCO,2022-12-01,15433214.13
CUSCO,2023-01-01,327601.94
CUSCO,2023-02-01,4348921.69
CUSCO,2023-03-01,6713947.14
CUSCO,2023-04-01,8343161.05
CUSCO,2023-05-01,8978859.45
CUSCO,2023-06-01,9795808.11
CUSCO,2023-07-01,10051950.04
CUSCO,2023-08-01,11400618.95
CUSCO,2023-09-01,10072776.4
CUSCO,2023-10-01,11998881.39
CUSCO,2023-11-01,6875210.68
CUSCO,2023-12-01,19865514.34
CUSCO,2024-01-01,1819009.22
CUSCO,2024-02-01,8174317.57
CUSCO,2024-03-01,8612551.09
CUSCO,2024-04-01,8082764.26
CUSCO,2024-05-01,10257370.36
CUSCO,2024-06-01,5085058.68
CUSCO,2024-07-01,10748434.790000001
CUSCO,2024-08-01,9087614.24
CUSCO,2024-09-01,13295639.55
CUSCO,2024-10-01,8391441.55
CUSCO,2024-11-01,7557599.54
CUSCO,2024-12-01,27415200.57
CUSCO,2025-01-01,1946817.3800000001
CUSCO,2025-02-01,6294677.04
CUSCO,2025-03-01,8426382.95
CUSCO,2025-04-01,11293047.24
CUSCO,2025-05-01,11624052.71
CUSCO,2025-06-01,7887881.72
CUSCO,2025-07-01,7489111.01
CUSCO,2025-08-01,11267505.73
HUANCAVELICA,2019-01-01,34434.91
HUANCAVELICA,2019-02-01,224495.99
HUANCAVELICA,2019-03-01,358840.32
HUANCAVELICA,2019-04-01,668439.52
HUANCAVELICA,2019-05-01,455991.71
